Date,close
2012-01-01,879.0
2012-01-08,869.0
2012-01-22,864.5
2012-01-29,833.75
2012-02-05,838.25
2012-02-12,835.6
2012-02-26,848.0
2012-03-04,867.2
2012-03-11,883.3333333333334
2012-03-18,867.8
2012-03-25,878.0
2012-04-01,862.8
2012-04-08,888.0
2012-04-15,952.8
2012-04-22,1102.75
2012-04-29,1455.0
2012-05-13,1445.8
2012-05-20,1386.6
2012-05-27,1399.4
2012-06-03,1264.0
2012-06-10,1233.6
2012-06-17,1209.4
2012-07-01,1253.2
2012-07-08,1280.2
2012-07-15,1311.8
2012-07-22,1401.6
2012-07-29,1463.4
2012-08-05,1457.5
2012-08-12,1469.5
2012-08-19,1457.2
2012-08-26,1457.75
2012-09-02,1445.2
2012-09-09,1451.4
2012-09-16,1472.4
2012-09-23,1475.6
2012-09-30,1418.0
2012-10-07,1263.1666666666667
2012-10-14,1151.2
2012-11-04,1246.25
2012-11-11,1391.4
2012-11-18,1479.0
2012-11-25,1524.0
2012-12-02,1473.4
2012-12-09,1475.4
2012-12-16,1479.6
2012-12-23,1551.8
2013-01-06,1675.6
2013-01-13,1651.8
2013-01-20,1617.5
2013-02-03,1597.5
2013-02-10,1619.2
2013-02-17,1770.0
2013-02-24,1851.75
2013-03-03,1885.8
2013-03-17,1908.25
2013-03-24,1872.6
2013-03-31,1834.5
2013-04-07,1809.6
2013-04-21,1821.0
2013-04-28,1779.75
2013-05-05,1761.25
2013-05-12,1687.6
2013-05-19,1715.8
2013-05-26,1745.2
2013-06-02,1760.0
2013-06-09,1746.0
2013-06-16,1738.8
2013-06-23,1717.2
2013-06-30,1746.8
2013-07-07,1744.0
2013-07-14,1782.0
2013-07-21,1843.0
2013-07-28,1897.8
2013-08-04,1912.0
2013-08-11,1891.6
2013-08-18,1833.8
2013-08-25,1851.0
2013-09-01,1842.0
2013-09-08,1856.4
2013-09-15,1963.6
2013-09-22,1987.75
2013-09-29,1977.0
2013-10-06,1978.8
2013-10-20,2107.5
2013-10-27,2170.0
2013-11-24,2487.0
2013-12-01,2414.2
2013-12-08,2650.2
2013-12-15,2276.0
2013-12-22,2389.25
2013-12-29,2255.75
2014-01-05,2152.75
2014-01-12,2160.2
2014-01-19,2219.75
2014-01-26,2113.8
2014-02-02,2060.5
2014-02-09,2050.25
2014-02-16,2112.4
2014-02-23,2099.75
2014-03-09,2037.0
2014-03-23,1859.0
